datum;talsperre;stauraum_mio_m3;inhalt_mio_m3;fuellgrad_pct;quelle
2022-08-15;Breitenbach;7.8;4.93;63.21;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15.08.2022.pdf
2022-08-15;Obernau;14.9;11.22;75.3;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15.08.2022.pdf
2022-09-01;Breitenbach;7.8;4.56;58.46;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01.09.2022.pdf
2022-09-01;Obernau;14.9;10.63;71.34;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01.09.2022.pdf
2022-09-15;Breitenbach;7.8;4.33;55.51;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.09.2022.pdf
2022-09-15;Obernau;14.9;10.27;68.93;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.09.2022.pdf
2022-10-01;Breitenbach;7.8;4.27;54.74;https://www.bra.nrw.de/system/files/media/document/file/2022-10-01_talsperrenfuellstaende.pdf
2022-10-01;Obernau;14.9;10.1;67.79;https://www.bra.nrw.de/system/files/media/document/file/2022-10-01_talsperrenfuellstaende.pdf
2022-10-15;Breitenbach;7.8;4.31;55.26;https://www.bra.nrw.de/system/files/media/document/file/2022-10-15_talsperrenfuellstaende.pdf
2022-10-15;Obernau;14.9;9.91;66.51;https://www.bra.nrw.de/system/files/media/document/file/2022-10-15_talsperrenfuellstaende.pdf
2022-11-01;Breitenbach;7.8;4.3;55.13;https://www.bra.nrw.de/system/files/media/document/file/2022-11-01_talsperrenfuellstaende.pdf
2022-11-01;Obernau;14.9;9.61;64.5;https://www.bra.nrw.de/system/files/media/document/file/2022-11-01_talsperrenfuellstaende.pdf
2022-11-15;Breitenbach;7.8;4.26;54.62;https://www.bra.nrw.de/system/files/media/document/file/2022-11-15_talsperrenfuellstaende.pdf
2022-11-15;Obernau;14.9;9.27;62.21;https://www.bra.nrw.de/system/files/media/document/file/2022-11-15_talsperrenfuellstaende.pdf
2022-12-01;Breitenbach;7.8;4.46;57.18;https://www.bra.nrw.de/system/files/media/document/file/2022-12-01_talsperrenfuellstaende.pdf
2022-12-01;Obernau;14.9;9.27;62.21;https://www.bra.nrw.de/system/files/media/document/file/2022-12-01_talsperrenfuellstaende.pdf
2022-12-15;Breitenbach;7.8;4.45;57.05;https://www.bra.nrw.de/system/files/media/document/file/2022-12-15_talsperrenfuellstaende.pdf
2022-12-15;Obernau;14.9;9.17;61.54;https://www.bra.nrw.de/system/files/media/document/file/2022-12-15_talsperrenfuellstaende.pdf
2023-01-01;Breitenbach;7.8;5.09;65.26;https://www.bra.nrw.de/system/files/media/document/file/2023-01-01_talsperrenfuellstaende.pdf
2023-01-01;Obernau;14.9;10.2;68.46;https://www.bra.nrw.de/system/files/media/document/file/2023-01-01_talsperrenfuellstaende.pdf
2023-01-15;Breitenbach;7.8;6.34;81.28;https://www.bra.nrw.de/system/files/media/document/file/2023-01-15_talsperrenfuellstaende.pdf
2023-01-15;Obernau;14.9;12.11;81.28;https://www.bra.nrw.de/system/files/media/document/file/2023-01-15_talsperrenfuellstaende.pdf
2023-02-01;Breitenbach;7.8;6.65;85.26;https://www.bra.nrw.de/system/files/media/document/file/2023-02-01_talsperrenfuellstaende.pdf
2023-02-01;Obernau;14.9;13.23;88.79;https://www.bra.nrw.de/system/files/media/document/file/2023-02-01_talsperrenfuellstaende.pdf
2023-02-15;Breitenbach;7.8;6.65;85.26;https://www.bra.nrw.de/system/files/media/document/file/2023-02-15_talsperrenfuellstaende.pdf
2023-02-15;Obernau;14.9;13.73;92.15;https://www.bra.nrw.de/system/files/media/document/file/2023-02-15_talsperrenfuellstaende.pdf
2023-03-01;Breitenbach;7.8;6.71;86.03;https://www.bra.nrw.de/system/files/media/document/file/2023-03-01_talsperrenfuellstaende.pdf
2023-03-01;Obernau;14.9;13.81;92.68;https://www.bra.nrw.de/system/files/media/document/file/2023-03-01_talsperrenfuellstaende.pdf
2023-03-15;Breitenbach;7.8;6.76;86.67;https://www.bra.nrw.de/system/files/media/document/file/2023-03-15_talsperrenfuellstaende.pdf
2023-03-15;Obernau;14.9;14.56;97.72;https://www.bra.nrw.de/system/files/media/document/file/2023-03-15_talsperrenfuellstaende.pdf
2023-04-01;Breitenbach;7.8;6.74;86.41;https://www.bra.nrw.de/system/files/media/document/file/2023-04-01_talsperrenfuellstaende_0.pdf
2023-04-01;Obernau;14.9;14.68;98.52;https://www.bra.nrw.de/system/files/media/document/file/2023-04-01_talsperrenfuellstaende_0.pdf
2023-04-15;Breitenbach;7.8;6.76;86.67;https://www.bra.nrw.de/system/files/media/document/file/2023-04-15_talsperrenfuellstaende.pdf
2023-04-15;Obernau;14.9;14.75;98.99;https://www.bra.nrw.de/system/files/media/document/file/2023-04-15_talsperrenfuellstaende.pdf
2023-05-01;Breitenbach;7.8;6.73;86.28;https://www.bra.nrw.de/system/files/media/document/file/2023-05-01_talsperrenfuellstaende.pdf
2023-05-01;Obernau;14.9;14.76;99.06;https://www.bra.nrw.de/system/files/media/document/file/2023-05-01_talsperrenfuellstaende.pdf
2023-05-15;Breitenbach;7.8;6.74;86.41;https://www.bra.nrw.de/system/files/media/document/file/2023-05-15_talsperrenfuellstaende.pdf
2023-05-15;Obernau;14.9;14.79;99.26;https://www.bra.nrw.de/system/files/media/document/file/2023-05-15_talsperrenfuellstaende.pdf
2023-06-01;Breitenbach;7.8;6.66;85.38;https://www.bra.nrw.de/system/files/media/document/file/2023-06-01_talsperrenfuellstaende.pdf
2023-06-01;Obernau;14.9;14.59;97.92;https://www.bra.nrw.de/system/files/media/document/file/2023-06-01_talsperrenfuellstaende.pdf
2023-06-15;Breitenbach;7.8;6.45;82.69;https://www.bra.nrw.de/system/files/media/document/file/2023-06-15_talsperrenfuellstaende.pdf
2023-06-15;Obernau;14.9;14.19;95.23;https://www.bra.nrw.de/system/files/media/document/file/2023-06-15_talsperrenfuellstaende.pdf
2023-07-01;Breitenbach;7.8;6.29;80.64;https://www.bra.nrw.de/system/files/media/document/file/2023-07-01_talsperrenfuellstaende.pdf
2023-07-01;Obernau;14.9;13.81;92.68;https://www.bra.nrw.de/system/files/media/document/file/2023-07-01_talsperrenfuellstaende.pdf
2023-07-15;Breitenbach;7.8;6.1;78.15;https://www.bra.nrw.de/system/files/media/document/file/2023-07-15_-_talsperrenfuellstaende.pdf
2023-07-15;Obernau;14.9;13.42;90.08;https://www.bra.nrw.de/system/files/media/document/file/2023-07-15_-_talsperrenfuellstaende.pdf
2023-08-01;Breitenbach;7.8;5.84;74.86;https://www.bra.nrw.de/system/files/media/document/file/2023-08-01_talsperrenfuellstaende.pdf
2023-08-01;Obernau;14.9;13.12;88.04;https://www.bra.nrw.de/system/files/media/document/file/2023-08-01_talsperrenfuellstaende.pdf
2023-08-15;Breitenbach;7.8;6.48;83.08;https://www.bra.nrw.de/system/files/media/document/file/2023-08-15_talsperrenfuellstaende.pdf
2023-08-15;Obernau;14.9;13.71;92.01;https://www.bra.nrw.de/system/files/media/document/file/2023-08-15_talsperrenfuellstaende.pdf
2023-09-01;Breitenbach;7.8;6.74;86.41;https://www.bra.nrw.de/system/files/media/document/file/2023-09-01_talsperrenfuellstaende.pdf
2023-09-01;Obernau;14.9;13.45;90.27;https://www.bra.nrw.de/system/files/media/document/file/2023-09-01_talsperrenfuellstaende.pdf
2023-09-15;Breitenbach;7.8;6.72;86.15;https://www.bra.nrw.de/system/files/media/document/file/2023-09-15_talsperrenfuellstaende.pdf
