datum;talsperre;fuellgrad_pct;inhalt_mio_m3;quelle
1998-06-15;Obernautalsperre;80.74;12.03;https://web.archive.org/web/20030515073741id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_06_98.html
1998-07-01;Breitenbachtalsperre;81.54;6.36;https://web.archive.org/web/20030512130944id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_07_98.html
1998-07-01;Obernautalsperre;77.85;11.6;https://web.archive.org/web/20030512130944id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_07_98.html
1998-07-15;Breitenbachtalsperre;80.9;6.31;https://web.archive.org/web/20030512130446id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_07_98.html
1998-07-15;Obernautalsperre;78.05;11.63;https://web.archive.org/web/20030512130446id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_07_98.html
1998-08-15;Breitenbachtalsperre;79.49;6.2;https://web.archive.org/web/20030512130750id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_08_98.html
1998-08-15;Obernautalsperre;77.05;11.48;https://web.archive.org/web/20030512130750id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_08_98.html
1998-09-01;Breitenbachtalsperre;76.79;5.99;https://web.archive.org/web/20031126135637id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_09_98.html
1998-09-01;Obernautalsperre;74.5;11.1;https://web.archive.org/web/20031126135637id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_09_98.html
1998-10-01;Breitenbachtalsperre;88.97;6.94;https://web.archive.org/web/20030512131150id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_10_98.html
